mgm_heads	cap_heads	mean	std
2	2	82.09	1.22
4	2	83.35	1.74
8	2	83.26	1.73
16	2	83.3	1.26
32	2	83.26	1.11
64	2	83.13	1.8
128	2	84.61	1.49
256	2	84.39	1.18
4	4	82.96	2
8	4	83.61	1.77
16	4	83.26	2.43
32	4	83.35	2.73
64	4	84.65	1.97
128	4	84.17	0.88
256	4	84	0.96
8	8	83.13	1.25
16	8	83.78	1.41
32	8	83.78	1.93
64	8	83.96	2.27
128	8	84.09	1.28
256	8	83.83	2.47
16	12	83.22	2.12
32	12	83.91	1.53
64	12	83.34	1.31
128	12	84.74	1.67
256	12	83.83	1.8
16	16	83.83	1.82
32	16	84.22	1.28
64	16	83.87	1.48
128	16	84.22	2.19
256	16	84.22	1.48
32	24	84.43	1.59
64	24	84.17	0.9
128	24	84.04	2.23
256	24	85.22	0.79
32	32	83.09	1.22
64	32	84.3	1.23
128	32	83.78	2.28
256	32	84.26	1.71
