mgm_heads	cap_heads	mean	std
2	2	0.3946775844	0.006711463285
4	2	0.3941999318	0.0033400855
8	2	0.3881951552	0.004655082334
16	2	0.4019788468	0.004016087061
32	2	0.4036165131	0.004437969987
64	2	0.3980211532	0.004086197181
128	2	0.4060730126	0.005918866856
256	2	0.407028318	0.006587522831
4	4	0.3938587513	0.003456547292
8	4	0.4004094166	0.004503582395
16	4	0.4062094848	0.003476694426
32	4	0.3909245991	0.007575128809
64	4	0.4012282497	0.006881365942
128	4	0.4016376663	0.003746155505
256	4	0.4044353463	0.003025561143
8	8	0.4012964858	0.004523183465
16	8	0.4043671102	0.007513410909
32	8	0.3980211532	0.003809016919
64	8	0.4046400546	0.005960414276
128	8	0.4030706244	0.006051891709
256	8	0.4009553054	0.006976786371
16	12	0.4034800409	0.005104497908
32	12	0.3974070283	0.006467687812
64	12	0.4021835551	0.003986997245
128	12	0.3978164449	0.004602776378
256	12	0.403548277	0.004152882717
16	16	0.4030023883	0.008895328361
32	16	0.4022517912	0.006034170172
64	16	0.4007505971	0.008098564012
128	16	0.4046400546	0.007156662219
256	16	0.3989082224	0.003567906233
32	24	0.4037529853	0.003381647682
64	24	0.4053224156	0.004272255433
128	24	0.4004776527	0.004317786972
256	24	0.4040259297	0.003174262259
32	32	0.3952917093	0.006406929837
64	32	0.3968611395	0.005694342148
128	32	0.3990446946	0.007436169349
256	32	0.4023882634	0.009352577943
