mgm_heads	cap_heads	mean	std
2	2	0.3916751962	0.004541674867
4	2	0.3877857387	0.007119481113
8	2	0.3906516547	0.007231094803
16	2	0.4067553736	0.005149000199
32	2	0.4081200955	0.007016714891
64	2	0.4081883316	0.008611276474
128	2	0.4082565677	0.004774576782
256	2	0.4079153872	0.008314170097
4	4	0.3931763903	0.004951703188
8	4	0.4002047083	0.006901635105
16	4	0.4064141931	0.003554832147
32	4	0.3965199591	0.003373376211
64	4	0.4104401228	0.004363910462
128	4	0.4016376663	0.006814733223
256	4	0.4108495394	0.006732244004
8	8	0.3832821563	0.00109177755
16	8	0.4033435687	0.00715145548
32	8	0.3982258615	0.005344241351
64	8	0.4072330263	0.005731832139
128	8	0.4060047765	0.003737444951
256	8	0.4038212214	0.008316969763
16	12	0.4040259297	0.003455199973
32	12	0.395087001	0.005551919647
64	12	0.4059365404	0.005216380717
128	12	0.4073012624	0.005300499894
256	12	0.4092118731	0.004226233386
16	16	0.4095530536	0.003276753928
32	16	0.3995905834	0.006004776527
64	16	0.4088024565	0.007485471838
128	16	0.4078471511	0.007382754672
256	16	0.407028318	0.007592319916
32	24	0.4118730809	0.006146553681
64	24	0.4099624701	0.004661079866
128	24	0.4085977482	0.002923819213
256	24	0.4116001365	0.007763936569
32	32	0.4045718185	0.00923937918
64	32	0.4016376663	0.008408282116
128	32	0.4085295121	0.004529355653
