mgm_heads	cap_heads	mean	std
2	2	0.3772773797	0.007213042826
4	2	0.3744796998	0.005414352624
8	2	0.3749573524	0.008536332994
16	2	0.3737291027	0.009449159671
32	2	0.3780962129	0.004660080813
64	2	0.3769361992	0.01053004802
128	2	0.3841009894	0.00697010938
256	2	0.3823268509	0.008675918516
4	4	0.37604913	0.004670061722
8	4	0.3737291027	0.004861552543
16	4	0.3776185602	0.007630248106
32	4	0.3745479359	0.004147272985
64	4	0.3804844763	0.004599740579
128	4	0.3778915046	0.003899619805
256	4	0.3758444217	0.004942291085
8	8	0.3716820198	0.005336394349
16	8	0.3742749915	0.003937642592
32	8	0.3740702832	0.005772305966
64	8	0.3798703514	0.005422945476
128	8	0.3820539065	0.0063916501
256	8	0.3808256568	0.007270907543
16	12	0.3763220744	0.007349252552
32	12	0.3741385193	0.01054374666
64	12	0.3755714773	0.003567906233
128	12	0.3740702832	0.008347704127
256	12	0.3815762538	0.008389433171
16	16	0.3786421017	0.005043935479
32	16	0.3740020471	0.004988240705
64	16	0.3770044353	0.008791606091
128	16	0.3717502559	0.008061106476
256	16	0.3775503241	0.003941188421
32	24	0.37045377	0.008723551997
64	24	0.374616172	0.004800834964
128	24	0.3765267827	0.009498307822
256	24	0.3776867963	0.004427465902
32	32	0.3740702832	0.00792420596
64	32	0.3735243944	0.005282901904
128	32	0.3800068236	0.003981153776
256	32	0.3733879222	0.006374142694
