mgm_heads	cap_heads	mean	std
2	2	46.17	0.86
4	2	44.85	0.85
8	2	45.02	0.52
16	2	44.94	1.97
32	2	45.73	1.04
64	2	44.15	0.66
128	2	44.81	0.72
256	2	43.25	1
4	4	42.85	0.82
8	4	44.88	0.47
16	4	45.15	0.54
32	4	44.48	1.62
64	4	45.44	0.79
128	4	45	1.07
256	4	43.02	1.73
8	8	42.9	1.9
16	8	44.63	0.4
32	8	45.38	1.09
64	8	44.17	0.41
128	8	44.5	1.21
256	8	44.73	0.73
16	12	43.06	1.2
32	12	44.17	0.86
64	12	45.06	0.68
128	12	44.48	1.88
256	12	44.06	1.57
16	16	43.83	0.92
32	16	43.75	0.63
64	16	43.69	0.68
128	16	44.35	0.6
256	16	44.81	0.87
32	24	45.1	0.98
64	24	44.54	2.49
128	24	44.67	0.39
256	24	44.41	0.91
32	32	41.88	1.26
64	32	44.81	1.5
128	32	44.17	1.7
256	32	45.33	1.15
